ECG signal fs= 1000 Hz
     (0.001 sec)	   (mV)
0   1.16470588235294E+0000
1   2.17864646615631E+0000
2   2.66611649344170E+0000
3   2.39910562756941E+0000
4   1.54918674379330E+0000
5   5.87010865872272E-0001
6   5.19897267949434E-0002
7   2.27953195959996E-0001
8   1.01270703597007E+0000
9   1.97909650798149E+0000
10   2.64352941176471E+0000
11   2.73511705439160E+0000
12   2.31317531697111E+0000
13   1.70959794754927E+0000
14   1.35153968496977E+0000
15   1.47995204234286E+0000
16   2.02257796208905E+0000
17   2.67746087598015E+0000
18   3.11270703597007E+0000
19   3.11792003739325E+0000
20   2.82117647058824E+0000
21   2.52443290378322E+0000
22   2.50376355226523E+0000
23   2.87430382990221E+0000
24   3.46448086144036E+0000
25   3.90357736942184E+0000
26   3.88963678561847E+0000
27   3.37628440539191E+0000
28   2.59153056538183E+0000
29   1.96253000443193E+0000
30   1.80823529411765E+0000
31   2.21384466848910E+0000
32   2.92141061108876E+0000
33   3.43439974521647E+0000
34   3.35153968496977E+0000
35   2.55769501648067E+0000
36   1.36257796208905E+0000
37   2.92659078312936E-0001
38  -1.68469434618167E-0001
39   1.37824122078976E-0001
40   9.96470588235294E-0001
41   1.86805823086220E+0000
42   2.22611649344169E+0000
43   1.81675268639295E+0000
44   8.24480861440355E-0001
45  -2.54165604715960E-0001
46  -8.92716155558002E-0001
47  -8.20282098157653E-0001
48  -1.39057669912283E-0001
49   7.36743566805017E-0001
50   1.31058823529412E+0000
51   1.32452881909749E+0000
52   8.11998846382871E-0001
53   1.17833241666911E-0001
54  -3.43754432677292E-0001
55  -3.18871487068901E-0001
56   1.07283844441998E-0001
57   6.32754993627206E-0001
58   9.25648212440658E-0001
59   8.14390625628546E-0001
60   4.14117647058824E-0001
61   9.03492018513038E-0004
62  -1.10354094793599E-0001
63   1.95480300490441E-0001
64   7.33892626146237E-0001
65   1.18593031059831E+0000
66   1.21081325620670E+0000
67   7.88049111274265E-0001
68   1.45648212440658E-0001
69  -3.15117054391608E-0001
70  -2.49411764705882E-0001
71   4.02079962606748E-0001
72   1.35552825814758E+0000
73   2.11439974521648E+0000
74   2.29036321438153E+0000
75   1.74240089883361E+0000
76   7.93166197383173E-0001
77  -6.96938628635343E-0002
78  -3.36704728735817E-0001
79   1.50765298549566E-0001
80   1.15176470588235E+0000
81   2.16570528968572E+0000
82   2.64023414050052E+0000
83   2.34734092168706E+0000
84   1.45859850849918E+0000
85   4.57599101166392E-0001
86  -1.29186743793297E-0001
87  -4.98798051059431E-0003
88   7.15059977146543E-0001
89   1.61674356680502E+0000
90   2.21647058823529E+0000
91   2.23041117203866E+0000
92   1.71788119932405E+0000
93   1.02371559460809E+0000
94   5.49186743793297E-0001
95   5.48187336460512E-0001
96   9.74342667971413E-0001
97   1.48687264068603E+0000
98   1.77976585949948E+0000
99   1.65556709621678E+0000
100   1.22941176470588E+0000
101   8.03256433194979E-0001
102   6.79057669912287E-0001
103   9.46068535784559E-0001
104   1.47153968496977E+0000
105   1.87181266353949E+0000
106   1.87081325620670E+0000
107   1.40922558186250E+0000
108   7.15059977146543E-0001
109   2.02530004431926E-0001
110   2.16470588235290E-0001
111   8.29138786136159E-0001
112   1.73082237579464E+0000
113   2.45087033345177E+0000
114   2.57506909673448E+0000
115   2.00122442824537E+0000
116   1.01316619738317E+0000
117   1.24423784195285E-0001
118  -1.68469434618167E-0001
119   3.06059416196626E-0001
120   1.30705882352941E+0000
121   2.30805823086219E+0000
122   2.78258708167699E+0000
123   2.48969386286353E+0000
124   1.60095144967565E+0000
125   5.87010865872272E-0001
126   2.25020912583438E-0004
127   1.24423784195285E-0001
128   8.31530565381833E-0001
129   1.73321415504031E+0000
130   2.32000000000000E+0000
131   2.33394058380337E+0000
132   1.80846943461817E+0000
133   1.11430382990221E+0000
134   6.52716155557997E-0001
135   6.51716748225212E-0001
136   1.06493090326552E+0000
137   1.59040205245073E+0000
138   1.87035409479360E+0000
139   1.74615533151090E+0000
140   1.33294117647059E+0000
141   9.06785844959689E-0001
142   7.82587081676987E-0001
143   1.07548030049044E+0000
144   1.58801027320506E+0000
145   2.00122442824537E+0000
146   2.00022502091258E+0000
147   1.53863734656838E+0000
148   8.31530565381833E-0001
149   3.19000592667216E-0001
150   3.32941176470590E-0001
151   9.32668197900869E-0001
152   1.83435178755934E+0000
153   2.54145856874588E+0000
154   2.67859850849918E+0000
155   2.09181266353949E+0000
156   1.10375443267729E+0000
157   2.15012019489406E-0001
158  -7.78811993240468E-0002
159   3.83706475020156E-0001
160   1.38470588235294E+0000
161   2.38570528968572E+0000
162   2.86023414050052E+0000
163   2.55439974521647E+0000
164   1.66565733202859E+0000
165   6.64657924695802E-0001
166   7.78720797361134E-0002
167   1.89129666548226E-0001
168   9.09177624205363E-0001
169   1.79792003739325E+0000
170   2.39764705882353E+0000
171   2.39864646615631E+0000
172   1.87317531697111E+0000
173   1.17900971225515E+0000
174   7.04480861440357E-0001
175   7.16422630578162E-0001
176   1.12963678561847E+0000
177   1.65510793480368E+0000
178   1.96094233008771E+0000
179   1.83674356680502E+0000
180   1.43647058823529E+0000
181   1.02325643319498E+0000
182   8.99057669912287E-0001
183   1.19195088872574E+0000
184   1.71742203791095E+0000
185   2.13063619295126E+0000
186   2.12963678561847E+0000
187   1.65510793480368E+0000
188   9.60942330087713E-0001
189   4.35471180902506E-0001
190   4.49411764705880E-0001
191   1.04913878613616E+0000
192   1.95082237579464E+0000
193   2.67087033345177E+0000
194   2.79506909673448E+0000
195   2.20828325177479E+0000
196   1.22022502091258E+0000
197   3.31482607724696E-0001
198   3.85893889112432E-0002
199   5.00177063255456E-0001
200   1.50117647058824E+0000
201   2.51511705439160E+0000
202   2.98964590520640E+0000
203   2.69675268639294E+0000
204   1.80801027320506E+0000
205   8.07010865872272E-0001
206   2.20225020912583E-0001
207   3.31482607724696E-0001
208   1.03858938891124E+0000
209   1.94027297856972E+0000
210   2.52705882352941E+0000
211   2.54099940733278E+0000
212   2.02846943461817E+0000
213   1.33430382990221E+0000
214   8.72716155557997E-0001
215   8.71716748225212E-0001
216   1.29787207973611E+0000
217   1.82334322892132E+0000
218   2.10329527126418E+0000
219   1.99203768445207E+0000
220   1.57882352941176E+0000
221   1.16560937437145E+0000
222   1.05435178755934E+0000
223   1.34724500637279E+0000
224   1.87271615555800E+0000
225   2.28593031059831E+0000
226   2.27198972679494E+0000
227   1.81040205245073E+0000
228   1.11623644773477E+0000
229   6.03706475020156E-0001
230   6.04705882352940E-0001
231   1.20443290378322E+0000
232   2.09317531697111E+0000
233   2.81322327462824E+0000
234   2.93742203791095E+0000
235   2.36357736942184E+0000
236   1.36257796208905E+0000
237   4.73835548901166E-0001
238   1.80942330087713E-0001
239   6.42530004431926E-0001
240   1.63058823529412E+0000
241   2.63158764262690E+0000
242   3.10611649344170E+0000
243   2.81322327462824E+0000
244   1.91153968496977E+0000
245   9.23481454107572E-0001
246   3.36695609147883E-0001
247   4.47953195959996E-0001
248   1.16800115361713E+0000
249   2.05674356680502E+0000
250   2.65647058823529E+0000
251   2.65746999556807E+0000
252   2.14494002285346E+0000
253   1.43783324166691E+0000
254   9.76245567322707E-0001
255   9.88187336460512E-0001
256   1.40140149150082E+0000
257   1.91393146421544E+0000
258   2.20682468302889E+0000
259   2.08262591974619E+0000
260   1.65647058823529E+0000
261   1.23031525672440E+0000
262   1.10611649344170E+0000
